,elements,temp,conv,comp,filename,flow,support,bet,pressure,selectivity,title
6,Ni,643.15,19.9,1.06|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,70.0|C2H4O,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
7,Ni,643.15,19.9,1.06|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,0.97|CO2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
8,Ni,693.15,56.0,0.21|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
9,Ni,693.15,56.0,0.21|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,11.2|CH4,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
10,Ni,693.15,56.0,0.21|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,20.7|CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
11,Ni,693.15,56.0,0.21|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,4.6|CO2,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
12,Ni,693.15,56.0,0.21|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,9.5|C2H4,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
13,Ni,693.15,56.0,0.21|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,44.3|C2H4O,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
14,Ni,693.15,56.0,0.21|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,0.22|CO2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
15,Ni,743.15,66.1,0.28|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
16,Ni,743.15,66.1,0.28|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,7.9|CH4,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
17,Ni,743.15,66.1,0.28|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,15.5|CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
18,Ni,743.15,66.1,0.28|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,7.1|CO2,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
19,Ni,743.15,66.1,0.28|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,19.9|C2H4,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
20,Ni,743.15,66.1,0.28|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,40.5|C2H4O,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
21,Ni,743.15,66.1,0.28|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,0.46|CO2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
22,Ni,793.15,64.1,0.55|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
23,Ni,793.15,64.1,0.55|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,7.0|CH4,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
24,Ni,793.15,64.1,0.55|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,16.9|CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
25,Ni,793.15,64.1,0.55|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,11.4|CO2,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
26,Ni,793.15,64.1,0.55|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,13.9|C2H4,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
27,Ni,793.15,64.1,0.55|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,39.1|C2H4O,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
28,Ni,793.15,64.1,0.55|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,0.67|CO2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
29,Ni,843.15,60.5,0.42|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
30,Ni,843.15,60.5,0.42|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,8.3|CH4,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
31,Ni,843.15,60.5,0.42|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,25.1|CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
32,Ni,843.15,60.5,0.42|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,10.5|CO2,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
33,Ni,843.15,60.5,0.42|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,5.8|C2H4,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
34,Ni,843.15,60.5,0.42|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,39.4|C2H4O,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
35,Ni,843.15,60.5,0.42|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,0.42|CO2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
36,Ni,893.15,61.7,0.33|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
37,Ni,893.15,61.7,0.33|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,12.5|CH4,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
38,Ni,893.15,61.7,0.33|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,31.4|CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
39,Ni,893.15,61.7,0.33|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,7.2|CO2,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
40,Ni,893.15,61.7,0.33|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,5.8|C2H4,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
41,Ni,893.15,61.7,0.33|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,32.2|C2H4O,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
42,Ni,893.15,61.7,0.33|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,0.23|CO2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
43,Ni,943.15,80.1,0.25|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
44,Ni,943.15,80.1,0.25|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,22.0|CH4,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
45,Ni,943.15,80.1,0.25|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,41.5|CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
46,Ni,943.15,80.1,0.25|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,2.0|CO2,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
47,Ni,943.15,80.1,0.25|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,11.7|C2H4,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
48,Ni,943.15,80.1,0.25|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,9.6|C2H4O,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
49,Ni,943.15,80.1,0.25|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,0.05|CO2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
50,Ni,693.15,65.2,1.3|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
51,Ni,693.15,65.2,1.3|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,4.5|CH4,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
52,Ni,693.15,65.2,1.3|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,10.9|CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
53,Ni,693.15,65.2,1.3|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,13.8|CO2,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
54,Ni,693.15,65.2,1.3|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,4.7|C2H4,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
55,Ni,693.15,65.2,1.3|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,49.4|C2H4O,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
56,Ni,693.15,65.2,1.3|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,1.3|CO2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
57,Ni,743.15,74.8,0.9|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
58,Ni,743.15,74.8,0.9|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,5.0|CH4,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
59,Ni,743.15,74.8,0.9|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,12.8|CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
60,Ni,743.15,74.8,0.9|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,13.4|CO2,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
61,Ni,743.15,74.8,0.9|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,8.8|C2H4,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
62,Ni,743.15,74.8,0.9|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,44.6|C2H4O,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
63,Ni,743.15,74.8,0.9|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,1.0|CO2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
64,Ni,943.15,71.8,0.4|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
65,Ni,943.15,71.8,0.4|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,21.9|CH4,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
66,Ni,943.15,71.8,0.4|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,37.3|CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
67,Ni,943.15,71.8,0.4|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,8.3|CO2,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
68,Ni,943.15,71.8,0.4|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,5.0|C2H4,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
69,Ni,943.15,71.8,0.4|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,9.5|C2H4O,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
70,Ni,943.15,71.8,0.4|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,0.2|CO2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
71,Ni,993.15,80.8,0.3|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
72,Ni,993.15,80.8,0.3|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,24.6|CH4,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
73,Ni,993.15,80.8,0.3|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,39.8|CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
74,Ni,993.15,80.8,0.3|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,5.1|CO2,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
75,Ni,993.15,80.8,0.3|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,5.6|C2H4,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
76,Ni,993.15,80.8,0.3|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,7.8|C2H4O,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
77,Ni,993.15,80.8,0.3|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,0.1|CO2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
78,Ni,693.15,56.0,0.2|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
79,Ni,693.15,56.0,0.2|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,11.2|CH4,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
80,Ni,693.15,56.0,0.2|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,20.7|CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
81,Ni,693.15,56.0,0.2|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,4.6|CO2,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
82,Ni,693.15,56.0,0.2|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,9.5|C2H4,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
83,Ni,693.15,56.0,0.2|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,44.3|C2H4O,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
84,Ni,693.15,56.0,0.2|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,0.2|CO2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
85,Ni,693.15,65.2,0.6|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
86,Ni,693.15,65.2,0.6|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,4.5|CH4,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
87,Ni,693.15,65.2,0.6|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,10.9|CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
88,Ni,693.15,65.2,0.6|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,13.8|CO2,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
89,Ni,693.15,65.2,0.6|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,4.7|C2H4,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
90,Ni,693.15,65.2,0.6|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,49.4|C2H4O,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
91,Ni,693.15,65.2,0.6|H2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production ,50.0|mlmin−1).,alumina,,,0.6|CO2/CO,Nickel–alumina washcoating on monoliths for the partial oxidation of ethanol to hydrogen production 
0,,,68.0,['600'],Effect of secondary metal catalysts on butane internal steam reforming operation of thin-film solid oxide fuel cells at 500–600 °C ,,,,15|MPa,,Effect of secondary metal catalysts on butane internal steam reforming operation of thin-film solid oxide fuel cells at 500–600 °C 
1,,,80.0,['600'],Effect of secondary metal catalysts on butane internal steam reforming operation of thin-film solid oxide fuel cells at 500–600 °C ,,,,15|MPa,,Effect of secondary metal catalysts on butane internal steam reforming operation of thin-film solid oxide fuel cells at 500–600 °C 
2,,,90.0,['600'],Effect of secondary metal catalysts on butane internal steam reforming operation of thin-film solid oxide fuel cells at 500–600 °C ,,,,15|MPa,,Effect of secondary metal catalysts on butane internal steam reforming operation of thin-film solid oxide fuel cells at 500–600 °C 
